web_photo_stem,old_print_files_stem (da compilare tu)
20-fenchurch-street,20 Fenchurch Street
Beaugranelle B&W 2,Beaugrenelle B&W 2
Walking in Paris,walking-in-paris
architectural-symphony,Architectural Symphony
beacon-in-the-fog-slovenia,The Beacon
chromatic-passage-london,Chromatic Passage
church-in-the-fog-slovenia,Church in the fog
dna,Dna
house-on-lake-bled,House on Lake Bled
idea,Idea
london-more-places-1,sharp-architecture-bw
sentiero-nebbioso,Sentiero Nebbioso
silent-geometry,Silent Geometry
simona-thomas-notredame,
spiral-of-light,Spiral of Light
spiral-staircase,Spiral Staircase
stazione-mediopadana,Stazione MedioPadana
stop,Stop
the-point,The Point
via-lattea-passo-del-cirone,Via Lattea Passo Cirone 2023
waves,Waves
